id,name_ko,name_en,brand,category,origin,age,abv,volume_ml,price_krw_low,price_krw_high,channels,confidence,notes
w001,글렌리벳 12년,The Glenlivet 12 Year Old,Glenlivet,싱글몰트,스코틀랜드-스페이사이드,12,40,700,54900,69800,트레이더스;코스트코;데일리샷,high,첫 싱글몰트 표준. 1L 행사판 존재
w002,글렌리벳 15년,The Glenlivet 15 Year Old French Oak Reserve,Glenlivet,싱글몰트,스코틀랜드-스페이사이드,15,40,700,94800,95900,트레이더스;코스트코,high,트레이더스·코스트코 교차확인
w003,글렌리벳 17년 스몰배치,The Glenlivet 17 Year Old Small Batch,Glenlivet,싱글몰트,스코틀랜드-스페이사이드,17,,700,229800,229800,트레이더스,med,위스키픽 ASR
w004,글렌리벳 19년 스몰배치,The Glenlivet 19 Year Old Small Batch,Glenlivet,싱글몰트,스코틀랜드-스페이사이드,19,,700,349800,349800,트레이더스,med,위스키픽 ASR
w005,글렌피딕 12년,Glenfiddich 12 Year Old,Glenfiddich,싱글몰트,스코틀랜드-스페이사이드,12,40,700,59000,84800,트레이더스;데일리샷,high,세계 판매 1위 싱글몰트
w006,글렌피딕 14년 버번배럴,Glenfiddich 14 Year Old Bourbon Barrel Reserve,Glenfiddich,싱글몰트,스코틀랜드-스페이사이드,14,,700,99800,99800,트레이더스,med,원자료 '법원 캐스크'=버번배럴 OCR 추정
w007,글렌피딕 15년,Glenfiddich 15 Year Old Solera,Glenfiddich,싱글몰트,스코틀랜드-스페이사이드,15,40,700,99800,99800,트레이더스,high,
w008,발베니 12년 더블우드,The Balvenie DoubleWood 12 Year Old,Balvenie,싱글몰트,스코틀랜드-스페이사이드,12,40,700,96800,99000,트레이더스;코스트코;데일리샷,high,셰리캐스크 마감 명작
w009,발베니 14년 캐리비안 캐스크,The Balvenie Caribbean Cask 14 Year Old,Balvenie,싱글몰트,스코틀랜드-스페이사이드,14,43,700,139800,139800,트레이더스,high,
w010,아벨라워 12년 더블캐스크,Aberlour 12 Year Old Double Cask Matured,Aberlour,싱글몰트,스코틀랜드-스페이사이드,12,40,700,70000,80000,코스트코;데일리샷,high,셰리 입문 정석
